period,start_year,end_year,cluster,papers,total_in_period,percentage
1996-1998,1996,1998,Fraud Detection + Text Classification + Customs,1,1,100.0
2002-2004,2002,2004,International Trade Law + Carbon Emission + Wto,3,8,37.5
2002-2004,2002,2004,Fraud Detection + Text Classification + Customs,2,8,25.0
2002-2004,2002,2004,Lstm + Demand Forecasting + Maritime Logistics,2,8,25.0
2002-2004,2002,2004,Blockchain + Distributed Ledger + Supply Chain Management,1,8,12.5
2005-2007,2005,2007,Fraud Detection + Text Classification + Customs,4,8,50.0
2005-2007,2005,2007,Lstm + Demand Forecasting + Maritime Logistics,3,8,37.5
2005-2007,2005,2007,International Trade Law + Carbon Emission + Wto,1,8,12.5
2008-2010,2008,2010,Lstm + Demand Forecasting + Maritime Logistics,9,18,50.0
2008-2010,2008,2010,Fraud Detection + Text Classification + Customs,6,18,33.3
2008-2010,2008,2010,Payment + Blockchain + Supply Chain Digitalization,1,18,5.6
2008-2010,2008,2010,International Trade Law + Carbon Emission + Wto,1,18,5.6
2008-2010,2008,2010,Blockchain + Distributed Ledger + Supply Chain Management,1,18,5.6
2011-2013,2011,2013,Lstm + Demand Forecasting + Maritime Logistics,8,22,36.4
2011-2013,2011,2013,Fraud Detection + Text Classification + Customs,6,22,27.3
2011-2013,2011,2013,International Trade Law + Carbon Emission + Wto,4,22,18.2
2011-2013,2011,2013,Blockchain + Distributed Ledger + Supply Chain Management,3,22,13.6
2011-2013,2011,2013,Payment + Blockchain + Supply Chain Digitalization,1,22,4.5
2014-2016,2014,2016,Fraud Detection + Text Classification + Customs,9,17,52.9
2014-2016,2014,2016,Lstm + Demand Forecasting + Maritime Logistics,5,17,29.4
2014-2016,2014,2016,International Trade Law + Carbon Emission + Wto,2,17,11.8
2014-2016,2014,2016,Blockchain + Distributed Ledger + Supply Chain Management,1,17,5.9
2017-2019,2017,2019,Fraud Detection + Text Classification + Customs,22,70,31.4
2017-2019,2017,2019,Lstm + Demand Forecasting + Maritime Logistics,19,70,27.1
2017-2019,2017,2019,Blockchain + Distributed Ledger + Supply Chain Management,18,70,25.7
2017-2019,2017,2019,Payment + Blockchain + Supply Chain Digitalization,6,70,8.6
2017-2019,2017,2019,International Trade Law + Carbon Emission + Wto,5,70,7.1
2020-2022,2020,2022,Blockchain + Distributed Ledger + Supply Chain Management,63,221,28.5
2020-2022,2020,2022,Fraud Detection + Text Classification + Customs,57,221,25.8
2020-2022,2020,2022,Payment + Blockchain + Supply Chain Digitalization,41,221,18.6
2020-2022,2020,2022,International Trade Law + Carbon Emission + Wto,35,221,15.8
2020-2022,2020,2022,Lstm + Demand Forecasting + Maritime Logistics,25,221,11.3
2023-2025,2023,2025,International Trade Law + Carbon Emission + Wto,115,470,24.5
2023-2025,2023,2025,Payment + Blockchain + Supply Chain Digitalization,104,470,22.1
2023-2025,2023,2025,Lstm + Demand Forecasting + Maritime Logistics,97,470,20.6
2023-2025,2023,2025,Fraud Detection + Text Classification + Customs,80,470,17.0
2023-2025,2023,2025,Blockchain + Distributed Ledger + Supply Chain Management,74,470,15.7
2026,2026,2026,International Trade Law + Carbon Emission + Wto,11,37,29.7
2026,2026,2026,Fraud Detection + Text Classification + Customs,10,37,27.0
2026,2026,2026,Lstm + Demand Forecasting + Maritime Logistics,7,37,18.9
2026,2026,2026,Payment + Blockchain + Supply Chain Digitalization,5,37,13.5
2026,2026,2026,Blockchain + Distributed Ledger + Supply Chain Management,4,37,10.8
