rank,title,authors,first_author_country,year,citations,source,doi
1,"Blockchain in global supply chains and cross border trade: a critical synthesis of the state-of-the-art, challenges and opportunities","Chang, Y.; Iakovou, E.; Shi, W.",United States,2020,532,International Journal of Production Research,10.1080/00207543.2019.1651946
2,A blockchain-based framework of cross-border e-commerce supply chain,"Liu, Z.; Li, Z.",China,2020,333,International Journal of Information Management,10.1016/j.ijinfomgt.2019.102059
3,"Maritime shipping digitalization: Blockchain-based technology applications, future improvements, and intention to use","Yang, C.-S.",Taiwan,2019,291,Transportation Research Part E: Logistics and Transportation Review,10.1016/j.tre.2019.09.020
4,Traceability vs. sustainability in supply chains: The implications of blockchain,"Biswas, D.; Jalali, H.; Ansaripoor, A.H.; De Giovanni, P.",Australia,2023,251,European Journal of Operational Research,10.1016/j.ejor.2022.05.034
5,Quality 4.0—the challenging future of quality engineering,"Zonnenshain, A.; Kenett, R.S.",Israel,2020,246,Quality Engineering,10.1080/08982112.2019.1706744
6,Should multinational firms implement blockchain to provide quality verification?,"Niu, B.; Mu, Z.; Cao, B.; Gao, J.",China,2021,200,Transportation Research Part E: Logistics and Transportation Review,10.1016/j.tre.2020.102121
7,Structural change and digitalization in developing countries: Conceptually linking the two transformations,"Matthess, M.; Kunkel, S.",Germany,2020,199,Technology in Society,10.1016/j.techsoc.2020.101428
8,"Blockchain technology in maritime supply chains: applications, architecture and challenges","Liu, J.; Zhang, H.; Zhen, L.",China,2023,144,International Journal of Production Research,10.1080/00207543.2021.1930239
9,Strengthening consumer trust in beef supply chain traceability with a blockchain-based human-machine reconcile mechanism,"Cao, S.; Powell, W.; Foth, M.; Natanelov, V.; Miller, T.; Dulleck, U.",Australia,2021,140,Computers and Electronics in Agriculture,10.1016/j.compag.2020.105886
10,Supplier selection and performance evaluation in just-in-time production environments,"Aksoy, A.; Öztürk, N.",Turkey,2011,139,Expert Systems with Applications,10.1016/j.eswa.2010.11.104
