label	replace_by
artificial intelligence (ai)	artificial intelligence
artificial neural networks	artificial neural network
blockchain technology	blockchain
business model	business
carbon emissions	carbon emission
convolutional neural networks	convolutional neural network
cross border e-commerce	cross-border e-commerce
cross-border e-commerce (cbec)	cross-border e-commerce
decision making	decision-making
digital platforms	digital platform
digital technology	digital technologies
digitalisation	digitalization
distributed ledger technology	distributed ledger
distributed ledger technology (dlt)	distributed ledger technology
ecommerce	e-commerce
free trade agreements	free trade agreement
global supply chain	global supply chains
global value chain	global value chains
graph neural networks	graph neural network
information systems	information system
innovations	innovation
lstm model	lstm
machine learning algorithms	machine learning algorithm
machine learning models	machine learning
neural networks	neural network
ports	port
prediction model	prediction
risk management system	risk management
smart contracts	smart contract
supply chains	supply chain
supply-chain	supply chain
trade barrier	trade barriers
